date,Clear Creek ,Upper Sacramento River,Upper-mid Sacramento River,Lower-mid Sacramento River,American River,Cow Creek,Battle Creek,Cottonwood Creek,Stony Creek,Thomes Creek
1/1/1922,41,38,36,36,41,38,38,38,37,38
1/2/1922,43,44,38,36,45,42,44,43,42,42
1/3/1922,43,46,41,37,46,44,45,44,43,44
1/4/1922,43,46,43,38,47,44,45,44,43,44
1/5/1922,43,46,44,39,48,43,45,44,43,43
1/6/1922,43,46,45,41,48,44,45,44,43,44
1/7/1922,43,46,46,42,48,44,46,45,44,44
1/8/1922,43,46,46,44,48,45,46,45,44,44
1/9/1922,43,46,46,44,48,44,46,44,43,44
1/10/1922,43,45,46,45,47,43,45,44,43,43
1/11/1922,43,45,45,45,47,43,44,44,42,43
1/12/1922,43,45,45,45,47,43,45,44,42,43
1/13/1922,43,46,45,46,47,44,46,45,44,44
1/14/1922,42,44,45,46,48,42,44,43,41,43
1/15/1922,42,43,43,46,48,41,43,43,40,42
1/16/1922,42,44,43,46,48,42,43,43,41,43
1/17/1922,42,45,44,46,47,44,45,44,43,44
1/18/1922,42,45,44,46,48,44,45,45,43,44
1/19/1922,42,46,46,45,47,45,46,45,44,44
1/20/1922,42,45,46,45,47,44,46,45,44,44
1/21/1922,42,46,46,46,47,45,46,45,44,44
1/22/1922,42,46,46,46,47,45,46,45,44,44
1/23/1922,43,46,47,46,47,45,46,45,45,44
1/24/1922,42,46,47,47,47,45,46,45,44,44
1/25/1922,42,46,46,47,47,45,46,45,44,44
1/26/1922,42,46,46,48,47,45,46,45,44,44
1/27/1922,42,46,46,48,47,45,46,45,44,44
1/28/1922,42,46,46,48,47,44,45,45,43,44
1/29/1922,42,45,46,47,47,44,45,45,43,44
1/30/1922,42,45,46,47,46,44,45,44,43,44
1/31/1922,42,45,46,47,46,44,45,45,43,44
2/1/1922,42,45,46,46,46,44,45,45,44,44
2/2/1922,42,46,46,46,47,45,46,45,44,44
2/3/1922,42,46,46,46,47,45,46,45,44,44
2/4/1922,42,46,46,46,47,45,46,45,44,44
2/5/1922,42,46,47,47,47,46,47,46,45,45
2/6/1922,42,47,48,47,47,46,47,46,45,45
2/7/1922,42,47,48,47,46,46,47,46,45,45
2/8/1922,42,47,48,48,47,46,47,46,45,45
2/9/1922,42,46,48,48,46,45,46,45,45,44
2/10/1922,42,46,47,48,46,45,46,45,45,45
2/11/1922,43,46,47,48,46,46,46,46,45,45
2/12/1922,43,46,47,47,46,46,46,46,45,45
2/13/1922,43,46,47,47,46,46,46,46,45,45
2/14/1922,43,46,47,47,46,46,47,46,45,45
2/15/1922,43,46,47,47,46,45,46,45,44,44
2/16/1922,43,46,47,47,46,46,47,46,45,45
2/17/1922,43,47,48,48,46,47,48,47,45,46
2/18/1922,43,47,48,48,46,46,47,46,45,45
2/19/1922,43,47,48,48,46,46,47,46,45,45
2/20/1922,43,47,48,48,46,46,47,46,45,45
2/21/1922,43,46,47,48,46,46,47,46,45,45
2/22/1922,43,46,47,48,46,46,47,45,45,45
2/23/1922,43,46,47,48,46,46,47,46,45,45
2/24/1922,43,47,48,48,46,46,48,46,46,46
2/25/1922,43,48,49,48,47,47,49,48,46,47
2/26/1922,43,48,50,49,47,48,49,48,47,47
2/27/1922,43,49,50,50,47,48,50,48,47,47
2/28/1922,43,48,50,51,47,47,49,47,46,46
3/1/1922,44,48,50,51,47,47,49,47,47,47
3/2/1922,44,48,51,51,47,48,50,48,47,47
3/3/1922,44,48,51,51,47,48,50,48,47,47
3/4/1922,44,48,51,51,47,48,49,48,47,47
3/5/1922,44,47,50,51,47,47,49,47,47,47
3/6/1922,44,48,50,52,48,48,50,48,48,48
3/7/1922,44,49,51,52,48,49,51,49,48,48
3/8/1922,44,49,51,52,48,48,50,48,48,48
3/9/1922,44,49,51,52,48,48,50,48,48,48
3/10/1922,44,48,51,52,48,48,50,48,48,48
3/11/1922,44,48,50,52,48,47,50,47,47,47
3/12/1922,44,48,50,52,48,47,50,47,47,47
3/13/1922,45,48,50,52,48,47,49,47,47,47
3/14/1922,45,49,51,52,48,48,50,48,48,48
3/15/1922,45,50,52,52,49,50,52,50,49,49
3/16/1922,45,50,53,53,49,50,52,50,49,49
3/17/1922,45,51,54,53,50,51,53,51,50,49
3/18/1922,45,51,54,54,50,51,53,51,50,50
3/19/1922,45,51,54,55,50,51,53,51,50,50
3/20/1922,45,51,55,55,51,51,53,51,50,50
3/21/1922,45,51,54,56,51,50,52,50,50,49
3/22/1922,45,51,54,56,51,51,53,50,50,50
3/23/1922,45,50,53,56,51,49,52,49,49,49
3/24/1922,45,51,54,56,51,50,52,50,50,49
3/25/1922,45,51,53,55,51,50,52,50,50,49
3/26/1922,45,50,53,55,51,49,51,49,49,49
3/27/1922,45,50,52,55,51,49,51,49,49,49
3/28/1922,45,50,52,55,51,49,52,49,49,49
3/29/1922,45,51,53,55,51,51,53,51,50,50
3/30/1922,45,50,53,55,51,51,53,51,50,50
3/31/1922,46,52,54,54,51,52,54,51,51,50
4/1/1922,46,52,55,55,51,53,55,53,51,51
4/2/1922,46,52,56,55,51,53,54,52,51,51
4/3/1922,46,52,56,56,51,54,55,53,51,51
4/4/1922,45,52,56,57,51,54,55,53,51,51
4/5/1922,46,52,56,58,51,54,55,53,51,51
4/6/1922,46,52,56,58,52,54,55,53,51,51
4/7/1922,46,52,56,58,51,54,56,53,52,51
4/8/1922,46,52,56,58,51,54,56,53,52,52
4/9/1922,46,52,56,58,51,53,55,53,51,51
4/10/1922,46,52,56,58,52,54,55,53,52,51
4/11/1922,46,52,56,58,52,54,55,53,52,51
4/12/1922,46,52,55,58,51,53,55,53,51,51
4/13/1922,46,52,55,57,52,53,55,53,52,51
4/14/1922,45,51,54,57,51,53,54,52,51,51
4/15/1922,46,52,54,56,51,53,55,53,51,51
4/16/1922,46,52,55,56,51,55,56,54,52,52
4/17/1922,46,53,56,56,51,55,56,54,52,52
4/18/1922,46,53,57,56,52,56,57,55,53,53
